Unnamed: 0,Comment,Rating
1,"Superb performance laptop and bettery is upto 4 to 6 hour in normal use and speaker is low , i bought it in 52k so good performance in price range ,",5
2,Performance is best as I expected.ssd is fast.it boots under 8second.but battery life is wrost😭😭😭😭😭😭😭😭😭😭😭😭,5
3,"Don't worry about packing,Nice packing won't damage your laptop.
Don't expect battery much, but its ok.
Performance is very fast.
Wifi 6 so hight speed wifi.
Speaker is also good
Display is very good.",5
4,Good product,5
5,Everything is fine 🙂,5
6,"Battery life is low ,but it's built hard for gaming",3
7,"Good delivery from flipkart and good product purchasing
And fabulous product",5
8,Very good performance and battery life is more than normal.,4
9,"Nice one
Recommending",5
10,"This device is just amazing, great performance,great display, great design.
Only issue is battery life but what to expect from a gaming laptop 😂",5
11,Extremely good laptop in this price. I bought in 53700/_ only,5
12,"Battery life short
Sound quality is very bad",1
13,"Battery is so bad, I basically run photoshop and vs code, it hardly gives 1 hr backup.",2
14,Guys free fire op head shots padutunnay and gta 5 no words pakka buy cheyandi and battery life radhu but charging petti use cheyochu don't worry pakka konandi don't miss this laptop best laptop this price range,5
15,"one of the greatest purchase of this year.. got it for 51990.. really good for the price range with specs and design, weight almost everything.. just got to add one more stick of ram and you can totally do anything on this beast. highly recommended.",5
16,"Hello guys i am writing this review after using 5 days this laptop.
This is osm good performance value off money i get this in 48K in this budget its good
Don't waste your time just go for it under 50k
Under 50K its no comparison any other

Guys just go for it",5
17,Day 1 of purchase - The laptop looks way Awsome in real then on photoes ... The laptop is fast and boots up just in 6-10 seconds thanks to the SSD that is ! At this price the laptop is quite decent.. Only thing I hated was that in just an hour of gaming it heated up like a freaking heater...,4
18,"I have read some of the comments before buying, which says battery backup is worst.
I feel the same after buying the laptop. With the upgradation of windows 11 have to check if there is any optimization and how the battery stands out after the upgrade.",4
19,Battery is good performance is good laptop is beast,5
20,Very nice 👍🏻 product .. i like it . Must buy this product . Value for money 🤑,5
21,Awesome Laptop,5
22,"Value for money product , i just loved it

battery needs to be improved expect battery everything is top notch",5
23,Audio is very low,1
24,My first laptop under 50000 performers is very good camera everage build and qualities good,5
25,"this laptop is best in class in 50000 , best speed and best performance.",5
26,Best laptop in this price,5
27,Good product. Battery backup only not satisfied. Performance is good,5
28,Aweaome worth for money,5
29,its really worth every penny... only thing is battery life... it can be better. i get arround 2 hours of gaming.,5
30,Best product,5
31,"Good laptop
I felt battery performance also nice
Sound quality is lil bit less",5
32,Low sound quality,4
33,Best laptop ever seen best for students and to play games,5
34,Don't buy this item. Battery backup is only 30 minutes. Asked flipkart to return it they send Acer guy they sad battery backup is for 1 hour. There no use of buying laptop then. Better to to buy desktop. Return is also rejected by flipkart. I do not recommend this product,1
35,"Good performance..
Display is awesome..
Camera quality is normal
overall this Lap is so Gooooood.....
😘 I like 💻........
Great choice I'm happy😊...",5
36,THE BEAST,5
37,"I got it at Rs-44170 in flipkart big big billion days 2021 with 6 months emi(icici credit card)
I think during sale it it the best laptop upto 50k budget.
If you want to spend 55k+ amount, then go for Asus tuff gaming f15 (ms office included)",4
38,"Brought on19th Oct 2021 Within 15 days laptop display is not coming at all,while watching movie laptop shutdown due to charging then after that display is not working .",1
39,Value for money nice product,5
40,Simply superb,5
41,Good Performance 2,4
42,"All OK and good
Only battery have to improve",4
43,Excellent laptop. Very nice performance. But speaker sound is a bit low. Rest everything is awesome,5
44,"The laptop performance is great but battery does not last for more than 3 hours in single charge with moderate usage.
Also, the speakers are not adequately loud. You can't hear anything with your ceiling fan turned on.

So be prepared to get a bluetooth speaker with this laptop.

For me 3 hours battery life is okay but the speaker output is really bad.",4
45,"The product is good bt the battery efficiency is not so good
Afterall the product is very perfect !",3
46,"Performance 10/10
Battery 🔋 6/10
Design 9/10
Display 10/10
Value of money 10/10",4
47,Amazing mind-blowing,5
48,"all systems , display , functions are good but battery backup is not good",5
49,"Its Amazing laptop for who used always plugin.
Battery capacity is tooo tooo lowww.
Otherwise its very excellent laptop.
Keyboard back light ok.",5
50,Total good laptop,5
51,Got windows 11 update,5
52,"I brought it for 49990 in big billion days.
Everything is awesome
Speaker sounds are so low, but clear
Performance is great with i5 and 10th gen,512 SSD,8gb ram& 4gb graphic card",5
53,Nice laptop with decent pwrformance,5
54,"I am casual user of the laptop and no a gamer, so it is good till date. have not find any major issue. Everything is good and running as per expectation.",4
55,JUST SUPERB IN SUCH A LOW PRICE RANGE JUST GO FOR IT .,5
56,"Best deal in this budget 👌, boot in just fraction of seconds, really very very fast, performance wise it's best in segment, N-Vidia Graphics card along with 512ssd, makes ideal for gaming & other hevy tasks, only drawback is battery but we should understand that gaming laptop consume more power, rest of the things you will enjoy for sure. What I wants in a laptop it has all.",5
57,"product is good and performance is very smooth for video editings it not so good get upgrade for high graphic games handles smoothly
heat management is good
battery backup depends on work for heavy use 1hr,40min for less use 4hr for battersaving 5hr
overall expereince is very good",5
58,"Gets the work done, mid range topper
Pros: good battery and processor, less boot time because of ssd, good ventilation, got all the required ports, back-lit keyboard, performance was beats everything..
Cons: heats up too much while gaming and other intensive tasks but not on regular usage, display could be better, keyboard is very compact you need to get used to it, speakers are really low",3
59,I want to say that this laptop is very good for gaming. I have played Gta V and it works very well no lag at all but if you want to play games kindly be sure that the fan vents are not blocked so that the hot air can flow away or else you can face some minor lags on the laptop.,4
60,Everything is fine with the laptop. It's fast to boot smooth in gaming but only setback is it's battery life which is not that efficient even if u r doing normal work on laptop. When u r playing a game then it will drown even faster probably running out in something 1-2 hours. everything else is fine. If u don't mind battery life and just want to play games than u should definitely go for it. It's best gaming laptop in this price range.,4
61,"1. Display Brightness is medium & just ok
2. No Free MS OFFICE
3. Weight of laptop : heavy
4. No bag included or any freebies just laptop & adapter is given
5. Performance is good
6. A good beginners laptop
7. I would rate it 7/10
8. No other choice in market if you need a laptop with good graphics at this price range",3
62,Great deal at this effective price (46k) ... Just hope the audio output of this laptop could be better and otherthen this the laptop is best in the segment ...... It compete with 60k laptops,5
63,Flipkart delivery even before time loved it laptop has great performance display also great else I'll say after using for sometime battery is also good,4
64,"This laptop is really worth buying 😚
Sound is average but display is good 👍
Performance is also superb 👌
Boot time is also fast 🔥
Battery backup is also not bad actually .
U can live with it !!!
Must buy",5
65,this is best laptop in this price,5
66,"After using one week I fell fell the laptop is very good for day to day net surfing I am not a gamer so it is best for my daily uses

Pros
Fast boot
Nice finishing
Elegant looks

Cons
Color contrast of pictures are somewhat not upto the mark
Little bit heating even in normal uses
But manageable

It is a great deal for me ☺️☺️",5
67,"🙂🙂Best and cheapest laptop on Dell company but there screen is not so good but all function and design are outstanding,mind blowing🙂🙂THIS FEEDBACK BY🥰🥰 SATYA PRAKASH🥰🥰 from basti🙂🙂",5
68,Awsome produtc,5
69,"Best spec for the price
Display is average
Design is good
Battery life is normal
After 20 min use it slightly gets heated,
When the laptop gets heated plastic smell is coming

But it has the best spec for the price and design is also good",3
70,"Very very nice laptop
But.heat is very fast",5
71,Display is not working. Poor,1
72,Just awesome,5
73,Excellent ☺️,5
74,Good,5
75,Good,5
76,"After using one week I fell fell the laptop is very good for day to day net surfing I am not a gamer so it is best for my daily uses

Pros
Fast boot
Nice finishing
Elegant looks

Cons
Color contrast of pictures are somewhat not upto the mark
Little bit heating even in normal uses
But manageable

It is a great deal for me ☺️☺️",5
77,"🙂🙂Best and cheapest laptop on Dell company but there screen is not so good but all function and design are outstanding,mind blowing🙂🙂THIS FEEDBACK BY🥰🥰 SATYA PRAKASH🥰🥰 from basti🙂🙂",5
78,Awsome produtc,5
79,"Best spec for the price
Display is average
Design is good
Battery life is normal
After 20 min use it slightly gets heated,
When the laptop gets heated plastic smell is coming

But it has the best spec for the price and design is also good",3
80,"Very very nice laptop
But.heat is very fast",5
81,Display is not working. Poor,1
82,Just awesome,5
83,Excellent ☺️,5
84,Good,5
85,Good,5
86,Nice product,5
87,Nice product,5
88,The delivery was very fast for me ….coming to laptop this is value for ur money and everything was excellent and coming to pros performance was good ..it’s boots in 3 sec that’s an excellent thing …have multiple of apps we can access easily to install … display is good and coming to cons camera was not that good but below avg and battery is ok we can expect 4-5 hours with charge over all its a good laptop for programming and working and not for gamers,5
89,The laptop is really good and also the battery …! As per the feedback they told the display could be better bt when I compare with my Thinkpad laptop it’s far better and good… i5 at this price is good for money …! The only worried part is there is No Finger Print option 😔,4
